country,iso3,rank,rank_pred,residual,population_latest,diaspora_2024,diaspora_per_capita
Syria,SYR,84,74.83828344699266,9.161716553007338,24672760,8927523,0.3618372245342637
St Vincent and the Grenadines,VCT,171,161.64037176105046,9.35962823894954,100616,35264,0.3504810368132305
Solomon Islands,SLB,153,143.3071825622373,9.692817437762699,819198,8352,0.01019533739096042
Uganda,UGA,88,78.01798481568335,9.982015184316651,50015092,578034,0.01155719157729431
St Lucia,LCA,167,156.9282019397943,10.071798060205708,179744,21706,0.12076063735089904
Guatemala,GTM,96,85.75952372440695,10.240476275593053,18406359,1460232,0.07933301746423614
Guinea-Bissau,GNB,132,121.36467156537469,10.635328434625308,2201352,103999,0.04724323960911295
Sierra Leone,SLE,119,107.54692439614426,11.453075603855737,8642022,63631,0.0073629759331786
American Samoa,ASM,192,180.2917982446881,11.708201755311904,46765,3362,0.07189137175237892
Gibraltar,GIB,203,190.44063568154846,12.559364318451543,39329,474,0.01205217523964504
Cayman Islands,CYM,195,181.9975940851647,13.002405914835293,74457,609,0.00817921753495306
Dominica,DMA,182,168.57278187759096,13.427218122409045,66205,21384,0.32299675251113963
Liechtenstein,LIE,206,191.4226803611591,14.57731963884089,40450,346,0.00855377008652657
Latvia,LVA,137,121.46420298398209,15.53579701601791,1866124,161014,0.08628258357965495
Madagascar,MDG,104,87.3686926349919,16.631307365008098,31964956,212455,0.00664649749556983
Botswana,BWA,146,127.38396405632881,18.616035943671193,2521139,16731,0.00663628621825294
Maldives,MDV,172,152.9867209128938,19.013279087106213,527799,2773,0.00525389400131489
Mozambique,MOZ,101,81.4682841056818,19.531715894318197,34631766,702796,0.0202933919107677
Malta,MLT,161,140.63747722480872,20.36252277519128,568847,43940,0.07724396894068176
Thailand,THA,93,70.885433588305645,22.114566411694355,71668011,1178757,0.01644746356920663
Korea DPR,PRK,118,95.86743251294536,22.132567487054644,26498823,46379,0.00175022867996816
Guyana,GUY,150,126.39631122849443,23.603688771505574,831087,469649,0.565102089191625
Turks and Caicos Islands,TCA,205,181.31750593631835,23.682494063681645,46535,2663,0.05722574406360804
Togo,TGO,121,97.2135360492201,23.786463950779904,9515236,584790,0.06145827596919299
Kuwait,KWT,134,110.1028285757593,23.897171424240696,4897263,167850,0.03427424665573403
San Marino,SMR,211,186.17332834252957,24.826671657470428,33977,1991,0.05859846366659799
Fiji,FJI,154,129.06891126033204,24.931088739667956,928784,181025,0.19490538166032145
Barbados,BRB,179,152.11919139136373,26.880808608636272,282467,19558,0.0692399466132327
Congo,COG,133,105.79300280737633,27.206997192623675,6332961,231080,0.03648846092688712
Aruba,ABW,189,161.58880197728345,27.411198022716547,107995,29305,0.27135515533126536
Niger,NER,114,86.29295664294105,27.70704335705895,27032412,439378,0.01625374753832547
Eswatini,SWZ,165,137.12249127105892,27.87750872894108,1242822,11561,0.00930221705119478
Lesotho,LSO,145,117.07580157269985,27.924198427300155,2337423,246938,0.1056454052176264
Kazakhstan,KAZ,110,81.75786316367214,28.24213683632786,20592571,2796572,0.1358048977954234
British Virgin Islands,VGB,208,179.72518615474218,28.274813845257825,39471,6185,0.1566973220845684
Belize,BLZ,180,151.64813590147872,28.351864098521276,417072,7383,0.01770197951432846
Azerbaijan,AZE,124,95.05010843651104,28.94989156348896,10202830,810116,0.0794011073398263
Liberia,LBR,140,109.10314403495455,30.896855965045447,5612817,145919,0.02599746259320409
Guam,GUM,201,169.83129668574298,31.168703314257016,167777,1179,0.0070271848942346
Nicaragua,NIC,131,99.0975866654102,31.902413334589795,6916140,905251,0.13088962918622238
Kenya,KEN,111,76.89718200431203,34.10281799568797,56432944,540466,0.00957713636205121
Tanzania,TZA,113,78.28091478241122,34.719085217588784,68560157,225017,0.00328203740840325
Rwanda,RWA,128,92.86319767305523,35.136802326944775,14256567,539046,0.0378103648655388
Lithuania,LTU,148,112.04345844250501,35.95654155749499,2888278,459268,0.15901100932804946
Vietnam,VNM,99,62.162429112873575,36.837570887126425,100987686,3693537,0.03657413241452032
Central African Republic,CAF,139,102.11453336069353,36.88546663930647,5330690,905808,0.1699232181950179
Malawi,MWI,127,88.97811344911561,38.02188655088439,21655286,427573,0.0197445094929709
US Virgin Islands,VIR,209,170.21058431767955,38.78941568232045,104377,4047,0.03877290974065167
Turkmenistan,TKM,141,101.93162899409596,39.06837100590404,7494498,365787,0.04880740511239045
Tonga,TON,199,159.5257247785321,39.474275221467906,104175,53237,0.5110343172546197
Singapore,SGP,147,105.70744777458422,41.292552225415776,6036860,269613,0.0446611317804289
Samoa,WSM,190,147.60815599648825,42.39184400351175,218019,119313,0.5472596425082218
Seychelles,SYC,204,161.39179389996565,42.60820610003435,121354,22191,0.18286171036801424
