rank,country,points,iso3,population_latest,diaspora_2024,diaspora_per_capita,is_uk_constituent
122,Indonesia,1144.88,IDN,283487931,3745148,0.013210960998547766,FALSE
123,Faroe Islands,1137.14,FRO,54681,12282,0.22461183957864705,FALSE
124,Azerbaijan,1136.67,AZE,10202830,810116,0.0794011073398263,FALSE
125,Suriname,1132.43,SUR,634431,258026,0.4067045904125114,FALSE
126,Cyprus,1128.33,CYP,1358282,80760,0.05945746170530126,FALSE
127,Malawi,1128.03,MWI,21655286,427573,0.019744509492970908,FALSE
128,Rwanda,1126.62,RWA,14256567,539046,0.037810364865538806,FALSE
129,Estonia,1121.1,EST,1372341,124216,0.09051394660656499,FALSE
130,Zimbabwe,1118.12,ZWE,16634373,1519324,0.09133641526494567,FALSE
131,Nicaragua,1115.13,NIC,6916140,905251,0.13088962918622238,FALSE
132,Guinea-Bissau,1108.38,GNB,2201352,103999,0.04724323960911295,FALSE
133,Congo,1105.96,COG,6332961,231080,0.03648846092688712,FALSE
134,Kuwait,1105.1,KWT,4897263,167850,0.03427424665573403,FALSE
135,Philippines,1094.1,PHL,115843670,6988383,0.06032598069449975,FALSE
136,India,1091.03,IND,1450935791,18533845,0.01277371825477286,FALSE
137,Latvia,1090.57,LVA,1866124,161014,0.08628258357965495,FALSE
138,Malaysia,1086.22,MYS,35557673,2433875,0.06844865804351145,FALSE
139,Central African Republic,1083.57,CAF,5330690,905808,0.1699232181950179,FALSE
140,Liberia,1079.02,LBR,5612817,145919,0.02599746259320409,FALSE
141,Turkmenistan,1078.65,TKM,7494498,365787,0.04880740511239045,FALSE
142,Burundi,1078.01,BDI,14047786,576530,0.04104063088660377,FALSE
143,Dominican Republic,1077.95,DOM,11427557,1917153,0.16776577880994162,FALSE
144,Ethiopia,1071.55,ETH,132059767,1240645,0.009394572080382363,FALSE
145,Lesotho,1067.13,LSO,2337423,246938,0.10564540521762641,FALSE
146,Botswana,1063.63,BWA,2521139,16731,0.006636286218252941,FALSE
147,Singapore,1059.53,SGP,6036860,269613,0.0446611317804289,FALSE
148,Lithuania,1058.42,LTU,2888278,459268,0.15901100932804946,FALSE
149,Yemen,1049.49,YEM,40583164,2480734,0.06112717086326734,FALSE
150,Guyana,1049.32,GUY,831087,469649,0.565102089191625,FALSE
151,New Caledonia,1036.95,NCL,292639,5082,0.01736610636313,FALSE
152,St Kitts and Nevis,1036.33,KNA,46843,13872,0.29613816365305384,FALSE
153,Solomon Islands,1031.89,SLB,819198,8352,0.010195337390960428,FALSE
154,Fiji,1029.7,FJI,928784,181025,0.19490538166032145,FALSE
155,"Hong Kong, China",1026.63,HKG,7524100,1240250,0.16483699047062106,FALSE
156,Puerto Rico,1026.11,PRI,3203295,1948223,0.6081934383189809,FALSE
157,Tahiti,1019.04,PYF,281807,2008,0.007125444009552637,FALSE
158,Myanmar,1011.88,MMR,54500091,4320462,0.07927439974366281,FALSE
159,Moldova,1004.16,MDA,2402306,864257,0.35976141257608313,FALSE
160,Vanuatu,997.01,VUT,327777,15202,0.046379093102932784,FALSE
161,Malta,987.73,MLT,568847,43940,0.07724396894068176,FALSE
162,Antigua and Barbuda,986.58,ATG,93772,13111,0.13981785607644073,FALSE
163,Grenada,982.57,GRD,117207,26300,0.22438932828244046,FALSE
164,Cuba,981.42,CUB,10979783,1879613,0.17118853806127135,FALSE
165,Eswatini,979.01,SWZ,1242822,11561,0.00930221705119478,FALSE
166,Bermuda,976.87,BMU,64636,1100,0.01701837985023826,FALSE
167,St Lucia,976.71,LCA,179744,21706,0.12076063735089905,FALSE
168,Papua New Guinea,974.9,PNG,10576502,35050,0.0033139501131848694,FALSE
169,Afghanistan,972.75,AFG,42647492,7528994,0.17654013511509656,FALSE
170,South Sudan,970.94,SSD,11943408,3168836,0.2653209201259808,FALSE
171,St Vincent and the Grenadines,968.27,VCT,100616,35264,0.3504810368132305,FALSE
172,Maldives,954.93,MDV,527799,2773,0.005253894001314895,FALSE
173,Andorra,945.34,AND,81938,1982,0.024189020967072664,FALSE
174,Chinese Taipei,923.78,TWN,NA,NA,NA,FALSE
175,Montserrat,916.75,MSR,NA,3341,NA,FALSE
176,Nepal,914.54,NPL,29651054,2637195,0.088941020443995,FALSE
177,Cambodia,911.54,KHM,17638801,778793,0.04415226409096627,FALSE
178,Mauritius,911.49,MUS,1245779,114314,0.09176105874316391,FALSE
179,Barbados,909.89,BRB,282467,19558,0.0692399466132327,FALSE
180,Belize,907,BLZ,417072,7383,0.01770197951432846,FALSE
181,Bangladesh,899.53,BGD,173562364,8706947,0.050166100526263864,FALSE
182,Dominica,897.69,DMA,66205,21384,0.32299675251113963,FALSE
183,Chad,896.85,TCD,20299123,292298,0.014399538344587596,FALSE
184,Eritrea,887.06,ERI,3535603,912792,0.2581715198227855,FALSE
185,Laos,885.03,LAO,7769819,660258,0.08497726909725954,FALSE
186,Bhutan,880.55,BTN,791524,66145,0.0835666385352813,FALSE
187,Mongolia,879.75,MNG,3524788,175596,0.04981746419926532,FALSE
188,Cook Islands,877.53,COK,NA,20288,NA,FALSE
189,Aruba,877.3,ABW,107995,29305,0.27135515533126536,FALSE
190,Samoa,876.41,WSM,218019,119313,0.5472596425082218,FALSE
191,Sri Lanka,871.82,LKA,21916000,1492103,0.06808281620733711,FALSE
192,American Samoa,871.61,ASM,46765,3362,0.07189137175237892,FALSE
193,Brunei Darussalam,863.09,BRN,462721,46552,0.10060490014501179,FALSE
194,Macau,858.03,MAC,687000,149247,0.21724454148471617,FALSE
195,Cayman Islands,855.45,CYM,74457,609,0.00817921753495306,FALSE
196,São Tomé and Príncipe,855.44,STP,235536,41433,0.17590941512125535,FALSE
197,Djibouti,853.58,DJI,1168722,3576,0.0030597524475452676,FALSE
198,Somalia,839.17,SOM,19009151,1935594,0.10182432660985227,FALSE
199,Tonga,835.64,TON,104175,53237,0.5110343172546197,FALSE
200,Timor-Leste,825.64,TLS,1400638,109613,0.07825933610254755,FALSE
201,Guam,825.43,GUM,167777,1179,0.007027184894234609,FALSE
202,Pakistan,824.6,PAK,251269164,6915057,0.027520515808298705,FALSE
203,Gibraltar,810.14,GIB,39329,474,0.012052175239645045,FALSE
204,Seychelles,804.16,SYC,121354,22191,0.18286171036801424,FALSE
205,Turks and Caicos Islands,803.98,TCA,46535,2663,0.05722574406360804,FALSE
206,Liechtenstein,803.57,LIE,40450,346,0.008553770086526576,FALSE
207,Bahamas,786.82,BHS,401283,2174,0.005417622974309901,FALSE
208,British Virgin Islands,782.14,VGB,39471,6185,0.1566973220845684,FALSE
209,US Virgin Islands,779.76,VIR,104377,4047,0.03877290974065167,FALSE
210,Anguilla,760.25,AIA,NA,1614,NA,FALSE
211,San Marino,726.33,SMR,33977,1991,0.058598463666597995,FALSE
